date,Total Pasien ICU
2020-12-01,630
2020-12-02,628
2020-12-03,628
2020-12-04,610
2020-12-05,620
2020-12-06,630
2020-12-07,636
2020-12-08,633
2020-12-09,657
2020-12-10,629
2020-12-11,648
2020-12-12,639
2020-12-13,655
2020-12-14,655
2020-12-15,650
2020-12-16,662
2020-12-17,670
2020-12-18,665
2020-12-19,691
2020-12-20,722
2020-12-21,699
2020-12-22,702
2020-12-23,716
2020-12-24,745
2020-12-25,734
2020-12-26,736
2020-12-27,745
2020-12-28,735
2020-12-29,730
2020-12-30,739
2020-12-31,736
2021-01-01,771
2021-01-02,741
2021-01-03,762
2021-01-04,773
2021-01-05,783
2021-01-06,814
2021-01-07,812
2021-01-08,820
2021-01-09,834
2021-01-10,849
2021-01-11,845
2021-01-12,839
2021-01-13,829
2021-01-14,839
2021-01-15,846
2021-01-16,868
2021-01-17,871
2021-01-18,892
2021-01-19,912
2021-01-20,908
2021-01-21,887
2021-01-22,914
2021-01-23,925
2021-01-24,921
2021-01-25,917
2021-01-26,901
2021-01-27,909
2021-01-28,928
2021-01-29,892
2021-01-30,882
2021-01-31,886
2021-02-01,893
2021-02-02,886
2021-02-03,871
2021-02-04,856
2021-02-05,831
2021-02-06,842
2021-02-07,838
2021-02-08,822
2021-02-09,835
2021-02-10,817
2021-02-11,834
2021-02-12,832
2021-02-13,814
2021-02-14,817
2021-02-15,830
2021-02-16,823
2021-02-17,859
2021-02-18,836
2021-02-19,845
2021-02-20,820
2021-02-21,817
2021-02-22,815
2021-02-23,806
2021-02-24,809
2021-02-25,799
2021-02-26,789
2021-02-27,790
2021-02-28,780
2021-03-01,771
2021-03-02,747
2021-03-03,720
2021-03-04,744
2021-03-05,746
2021-03-06,751
2021-03-07,755
2021-03-08,769
2021-03-09,751
2021-03-10,732
2021-03-11,731
2021-03-12,728
2021-03-13,747
2021-03-14,753
2021-03-15,735
2021-03-16,738
2021-03-17,724
2021-03-18,702
2021-03-19,692
2021-03-20,684
2021-03-21,674
2021-03-22,671
2021-03-23,650
2021-03-24,652
2021-03-25,625
2021-03-26,633
2021-03-27,609
2021-03-28,610
2021-03-29,607
2021-03-30,629
2021-03-31,591
2021-04-01,596
2021-04-02,555
2021-04-03,572
2021-04-04,540
2021-04-05,548
2021-04-06,542
2021-04-07,535
2021-04-08,529
