date,Total Pasien Isolasi
2020-12-01,4849
2020-12-02,4866
2020-12-03,4908
2020-12-04,4985
2020-12-05,4960
2020-12-06,4979
2020-12-07,5009
2020-12-08,5007
2020-12-09,4965
2020-12-10,5009
2020-12-11,5090
2020-12-12,5111
2020-12-13,5185
2020-12-14,5206
2020-12-15,5303
2020-12-16,5449
2020-12-17,5491
2020-12-18,5486
2020-12-19,5532
2020-12-20,5691
2020-12-21,5725
2020-12-22,5784
2020-12-23,5870
2020-12-24,5854
2020-12-25,5890
2020-12-26,5915
2020-12-27,6076
2020-12-28,6073
2020-12-29,6087
2020-12-30,6036
2020-12-31,6174
2021-01-01,6303
2021-01-02,6330
2021-01-03,6385
2021-01-04,6410
2021-01-05,6389
2021-01-06,6432
2021-01-07,6506
2021-01-08,6548
2021-01-09,6466
2021-01-10,6501
2021-01-11,6601
2021-01-12,6677
2021-01-13,6644
2021-01-14,6792
2021-01-15,6773
2021-01-16,6751
2021-01-17,6816
2021-01-18,6852
2021-01-19,6869
2021-01-20,6826
2021-01-21,6882
2021-01-22,6860
2021-01-23,6863
2021-01-24,6954
2021-01-25,6910
2021-01-26,6891
2021-01-27,6835
2021-01-28,6712
2021-01-29,6703
2021-01-30,6568
2021-01-31,6439
2021-02-01,6364
2021-02-02,6322
2021-02-03,6331
2021-02-04,6117
2021-02-05,6082
2021-02-06,5921
2021-02-07,5932
2021-02-08,5871
2021-02-09,5885
2021-02-10,5772
2021-02-11,5717
2021-02-12,5762
2021-02-13,5759
2021-02-14,5670
2021-02-15,5698
2021-02-16,5708
2021-02-17,5579
2021-02-18,5443
2021-02-19,5384
2021-02-20,5431
2021-02-21,5461
2021-02-22,5452
2021-02-23,5339
2021-02-24,5319
2021-02-25,5254
2021-02-26,5249
2021-02-27,5218
2021-02-28,5254
2021-03-01,5291
2021-03-02,5246
2021-03-03,5172
2021-03-04,5067
2021-03-05,5042
2021-03-06,4946
2021-03-07,4922
2021-03-08,4880
2021-03-09,4822
2021-03-10,4785
2021-03-11,4684
2021-03-12,4673
2021-03-13,4607
2021-03-14,4530
2021-03-15,4402
2021-03-16,4541
2021-03-17,4542
2021-03-18,4483
2021-03-19,4366
2021-03-20,4382
2021-03-21,4258
2021-03-22,4184
2021-03-23,4105
2021-03-24,4077
2021-03-25,3996
2021-03-26,3893
2021-03-27,3847
2021-03-28,3774
2021-03-29,3710
2021-03-30,3700
2021-03-31,3656
2021-04-01,3562
2021-04-02,3490
2021-04-03,3414
2021-04-04,3381
2021-04-05,3311
2021-04-06,3226
2021-04-07,3134
2021-04-08,3086
2021-04-09,3042
2021-04-10,2988
2021-04-11,2999
2021-04-12,2919
2021-04-13,2911
2021-04-14,2895
2021-04-15,2868
2021-04-16,2835
2021-04-17,2838
2021-04-18,2691
2021-04-19,2694
2021-04-20,2733
2021-04-21,2722
2021-04-22,2611
2021-04-23,2587
2021-04-24,2529
2021-04-25,2507
2021-04-26,2494
2021-04-27,2436
2021-04-28,2431
2021-04-29,2411
2021-04-30,2397
2021-05-01,2380
2021-05-02,2394
2021-05-03,2385
2021-05-04,2343
2021-05-05,2291
2021-05-06,2205
2021-05-07,2133
2021-05-08,2065
2021-05-09,2031
2021-05-10,1973
2021-05-11,1817
2021-05-12,1755
2021-05-13,1680
2021-05-14,1707
2021-05-15,1728
2021-05-16,1735
2021-05-17,1724
2021-05-18,1720
2021-05-19,1726
2021-05-20,1776
2021-05-21,1810
2021-05-22,1852
2021-05-23,1846
2021-05-24,1885
2021-05-25,1917
2021-05-26,2014
2021-05-27,2149
2021-05-28,2181
2021-05-29,2147
2021-05-30,2156
2021-05-31,2176
2021-06-01,2296
2021-06-02,2396
2021-06-03,2477
2021-06-04,2607
2021-06-05,2737
2021-06-06,2986
2021-06-07,3234
2021-06-08,3560
2021-06-09,3876
2021-06-10,4276
2021-06-11,4684
2021-06-12,5115
2021-06-13,5451
2021-06-14,5752
2021-06-15,6117
2021-06-16,6620
2021-06-17,7173
2021-06-18,7576
2021-06-19,7919
2021-06-20,8103
2021-06-21,8287
2021-06-22,8498
2021-06-23,8874
2021-06-24,9070
2021-06-25,9271
2021-06-26,9388
2021-06-27,9612
2021-06-28,9787
2021-06-29,9932
2021-06-30,10053
2021-07-01,10128
2021-07-02,10220
2021-07-03,10248
2021-07-04,10333
2021-07-05,10511
2021-07-06,10584
2021-07-07,10549
2021-07-08,10568
2021-07-09,10571
2021-07-10,10616
2021-07-11,10623
2021-07-12,10498
2021-07-13,10428
2021-07-14,10404
2021-07-15,10394
2021-07-16,10375
2021-07-17,10281
2021-07-18,10016
2021-07-19,9942
2021-07-20,9891
2021-07-21,9692
2021-07-22,9302
2021-07-23,9049
2021-07-24,8900
2021-07-25,8632
2021-07-26,8073
2021-07-27,7854
2021-07-28,7551
2021-07-29,7186
2021-07-30,6927
2021-07-31,6675
2021-08-01,6367
